                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    116,                0.36429,                0.34376,                  1.061,                0.93377,                0.84996,                0.93271,                0.84432,                0.49735,                0.44493,                  1.105,             0.00027231,             0.00027231,             0.00027231
                    117,                0.37255,                0.34491,                 1.0734,                0.89483,                0.86554,                0.93016,                0.83734,                0.48114,                0.43052,                 1.0785,             0.00026922,             0.00026922,             0.00026922
                    118,                 0.3637,                0.33098,                  1.064,                0.91616,                0.88032,                0.93664,                0.84744,                0.48534,                0.41567,                 1.0819,             0.00026613,             0.00026613,             0.00026613
                    119,                0.37062,                0.34127,                 1.0682,                0.89433,                0.87752,                0.93402,                  0.845,                0.49847,                0.47541,                 1.0995,             0.00026303,             0.00026303,             0.00026303
                    120,                0.37605,                0.33132,                 1.0683,                 0.8828,                0.88791,                0.93285,                 0.8431,                0.51233,                0.47428,                 1.1088,             0.00025994,             0.00025994,             0.00025994
                    121,                 0.3641,                0.33187,                  1.068,                0.89468,                0.89708,                0.93471,                0.83205,                0.52817,                0.48193,                  1.164,             0.00025684,             0.00025684,             0.00025684
                    122,                0.36529,                0.32145,                 1.0656,                0.90794,                0.87544,                0.92523,                0.83494,                0.50285,                0.44817,                 1.1274,             0.00025375,             0.00025375,             0.00025375
                    123,                0.35676,                0.32404,                 1.0594,                0.88973,                0.89142,                0.92591,                0.83621,                0.51033,                0.44531,                 1.1441,             0.00025066,             0.00025066,             0.00025066
                    124,                0.35568,                0.32213,                 1.0545,                0.89325,                0.87914,                0.91647,                0.81933,                0.53043,                0.47863,                  1.151,             0.00024756,             0.00024756,             0.00024756
                    125,                0.36183,                0.32889,                 1.0676,                0.88143,                 0.8814,                0.92055,                0.83793,                0.50491,                0.50073,                 1.0984,             0.00024447,             0.00024447,             0.00024447
                    126,                0.37139,                0.32151,                  1.063,                0.88137,                0.88541,                0.91807,                0.83293,                0.49244,                0.45727,                 1.0953,             0.00024137,             0.00024137,             0.00024137
                    127,                0.36211,                0.32411,                 1.0569,                0.90996,                0.85822,                0.92663,                0.83164,                0.51172,                0.44412,                 1.1417,             0.00023828,             0.00023828,             0.00023828
                    128,                0.35937,                 0.3188,                 1.0597,                0.90447,                 0.8784,                0.92671,                0.83926,                0.49813,                 0.4412,                 1.1154,             0.00023519,             0.00023519,             0.00023519
                    129,                0.35849,                0.32478,                 1.0683,                0.91688,                0.86863,                0.92932,                0.84082,                0.50878,                 0.4386,                 1.1531,             0.00023209,             0.00023209,             0.00023209
                    130,                0.35785,                0.31983,                 1.0598,                0.88157,                0.89004,                0.93133,                0.84351,                 0.4944,                 0.4121,                 1.1135,               0.000229,               0.000229,               0.000229
                    131,                0.36171,                0.31189,                 1.0617,                0.89867,                0.89024,                0.93764,                0.85108,                0.49068,                0.44537,                 1.1145,             0.00022591,             0.00022591,             0.00022591
                    132,                 0.3631,                0.32498,                 1.0611,                0.92206,                0.88093,                0.94449,                0.84335,                0.48573,                0.42822,                 1.1088,             0.00022281,             0.00022281,             0.00022281
                    133,                0.36669,                0.32731,                 1.0648,                 0.8613,                0.89529,                0.93915,                0.83804,                0.50495,                0.45521,                 1.1221,             0.00021972,             0.00021972,             0.00021972
                    134,                 0.3508,                 0.3031,                 1.0528,                0.89534,                0.87559,                0.93594,                0.83901,                0.50395,                 0.4438,                 1.1069,             0.00021662,             0.00021662,             0.00021662
                    135,                 0.3532,                0.31363,                 1.0508,                0.90949,                0.88925,                0.93033,                 0.8361,                0.49019,                0.41737,                 1.0894,             0.00021353,             0.00021353,             0.00021353
                    136,                0.34341,                0.30424,                 1.0536,                0.86159,                0.89365,                0.93415,                0.83646,                0.50136,                0.44787,                 1.1253,             0.00021044,             0.00021044,             0.00021044
                    137,                0.35841,                0.30666,                 1.0607,                0.88233,                0.89584,                0.92902,                0.84175,                0.49861,                0.42048,                 1.1242,             0.00020734,             0.00020734,             0.00020734
                    138,                0.34725,                0.30944,                 1.0472,                0.92813,                0.85577,                0.93363,                 0.8329,                 0.5102,                0.42897,                 1.1259,             0.00020425,             0.00020425,             0.00020425
                    139,                0.34875,                0.30388,                 1.0525,                0.91097,                0.88664,                0.93077,                0.83764,                0.50131,                0.45654,                 1.1131,             0.00020116,             0.00020116,             0.00020116
                    140,                0.35145,                0.30272,                 1.0553,                0.90084,                0.89552,                0.93572,                0.84604,                0.49768,                 0.4401,                  1.098,             0.00019806,             0.00019806,             0.00019806
                    141,                0.34127,                0.30123,                 1.0481,                0.91519,                0.84647,                0.92985,                 0.8361,                0.49501,                0.43344,                 1.1068,             0.00019497,             0.00019497,             0.00019497
                    142,                 0.3457,                0.30429,                 1.0539,                0.90436,                 0.8868,                 0.9198,                0.82825,                0.48735,                0.44727,                 1.0883,             0.00019188,             0.00019188,             0.00019188
                    143,                0.34933,                0.30804,                 1.0551,                0.90693,                0.88358,                0.93018,                0.83515,                0.50561,                0.42197,                 1.1371,             0.00018878,             0.00018878,             0.00018878
                    144,                0.34094,                 0.3086,                 1.0473,                0.90674,                0.89874,                0.93051,                0.83412,                0.50011,                0.40919,                 1.1264,             0.00018569,             0.00018569,             0.00018569
                    145,                0.34425,                0.29797,                 1.0479,                 0.9145,                0.87499,                0.93615,                0.84394,                0.48088,                0.42723,                 1.0984,             0.00018259,             0.00018259,             0.00018259
                    146,                0.33611,                0.29222,                 1.0535,                0.87587,                0.90287,                0.93056,                0.83964,                0.49919,                0.42364,                  1.115,              0.0001795,              0.0001795,              0.0001795
                    147,                0.33272,                 0.2824,                 1.0445,                0.90875,                0.85024,                0.93324,                0.84393,                 0.4854,                 0.4223,                 1.0885,             0.00017641,             0.00017641,             0.00017641
                    148,                0.34223,                0.29644,                  1.041,                0.89231,                0.87982,                0.93206,                0.83996,                 0.4895,                 0.4337,                 1.1104,             0.00017331,             0.00017331,             0.00017331
                    149,                0.33899,                0.28772,                 1.0487,                0.90464,                0.87814,                0.93159,                0.84006,                0.49361,                0.43159,                 1.0826,             0.00017022,             0.00017022,             0.00017022
